1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.025051, 0.0422033, 0.0411633, 0.0483268, 0.0263081, 0.0434407, 0.0435976, 0.0504007, 0.0263703, 0.0435026, 0.0436879, 0.0504791
0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0252395, 0.0408513, 0.0328887, 0.0411063, 0.0204344, 0.0360217, 0.024558, 0.0347615, 0.0204708, 0.03606, 0.0246044, 0.0347961
0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0199359, 0.0379525, 0.0290796, 0.039333, 0.0207886, 0.03877, 0.0318522, 0.0414025, 0.0207968, 0.0387791, 0.0318561, 0.0414063
0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0521341, 0.0681455, 0.0745862, 0.0790891, 0.0443975, 0.0604096, 0.059605, 0.065118, 0.0445594, 0.0605724, 0.0598386, 0.0653338
0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0193522, 0.0327616, 0.0241147, 0.0324539, 0.0186723, 0.0320468, 0.0229286, 0.0315518, 0.0186883, 0.032064, 0.0229429, 0.0315633
0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0547204, 0.0644526, 0.0888726, 0.0909638, 0.0433353, 0.0530655, 0.0684216, 0.0710742, 0.043712, 0.0534448, 0.0688072, 0.0714485
0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0195454, 0.0332974, 0.0327512, 0.0383864, 0.0188504, 0.0326039, 0.0344148, 0.0398201, 0.0189843, 0.0327368, 0.0345165, 0.0399071
0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0159702, 0.0302706, 0.0206943, 0.0294839, 0.0159883, 0.0302865, 0.0195945, 0.0287212, 0.0159975, 0.0302955, 0.0196056, 0.0287287
0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0178099, 0.032578, 0.0260037, 0.0334633, 0.0178065, 0.0325765, 0.0278374, 0.0349105, 0.0178636, 0.0326327, 0.0279023, 0.0349615
0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 0.0232653, 0.0384191, 0.0374893, 0.0438132, 0.0212674, 0.0364141, 0.033109, 0.0401204, 0.0213286, 0.036476, 0.0331699, 0.0401714
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 0.0160026, 0.0326302, 0.0206413, 0.0310761, 0.0163143, 0.0329412, 0.0221827, 0.0321218, 0.016328, 0.0329542, 0.0222055, 0.032137
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 0.0351684, 0.0467816, 0.0653717, 0.0680846, 0.03785, 0.0494586, 0.0660857, 0.0687604, 0.0376723, 0.0492818, 0.0659264, 0.0686082
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 0.0211577, 0.0349695, 0.0393442, 0.0439836, 0.0203775, 0.0342135, 0.03886, 0.0435798, 0.0201213, 0.0339563, 0.0386465, 0.0433883
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 0.0155186, 0.0308556, 0.0187896, 0.0285015, 0.0168814, 0.0322278, 0.0207966, 0.0298778, 0.0167625, 0.0321072, 0.0206372, 0.0297656
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 0.0158524, 0.0312422, 0.0263424, 0.0339177, 0.0165691, 0.0319781, 0.0283983, 0.0355577, 0.0163755, 0.031783, 0.0282189, 0.035413
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 0.0182611, 0.0339141, 0.0339624, 0.040677, 0.0185921, 0.0342515, 0.0315245, 0.0386733, 0.0186242, 0.0342832, 0.0315678, 0.0387079
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 0.012341, 0.027489, 0.0151118, 0.0260664, 0.0124055, 0.0275734, 0.0158525, 0.0265224, 0.012343, 0.0275082, 0.015781, 0.0264776
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 0.0356922, 0.0474467, 0.0657245, 0.0682992, 0.0345555, 0.0463098, 0.0630654, 0.0657477, 0.0344941, 0.0462486, 0.0630168, 0.0657013
