2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0257367, 0.0421103, 0.0403072, 0.0474528, 0.0232426, 0.0395863, 0.0342232, 0.0427366, 0.0233289, 0.0396744, 0.0343524, 0.0428356
1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0259429, 0.0435155, 0.0451017, 0.0521144, 0.0262255, 0.043764, 0.0442431, 0.0513673, 0.0261786, 0.0437177, 0.0442276, 0.0513566
1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0380953, 0.0546973, 0.0563232, 0.0623441, 0.0335934, 0.0501766, 0.048404, 0.0549331, 0.0337856, 0.0503695, 0.0487151, 0.0552138
1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0245167, 0.039796, 0.0403277, 0.0467369, 0.0245041, 0.0397491, 0.038143, 0.0449575, 0.0244983, 0.0397443, 0.0381505, 0.0449666
1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0382269, 0.051674, 0.0596462, 0.0646062, 0.0333761, 0.0468014, 0.0510271, 0.0562512, 0.0336911, 0.0471178, 0.0514224, 0.0566266
1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0239384, 0.0393799, 0.0399571, 0.0459573, 0.0245999, 0.0400347, 0.0420332, 0.0477669, 0.0247967, 0.0402306, 0.0422238, 0.047934
1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0204855, 0.0362114, 0.0302457, 0.0383706, 0.021407, 0.0371228, 0.0316074, 0.0395793, 0.021449, 0.0371646, 0.0316644, 0.0396276
1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0.0220019, 0.0379749, 0.0348361, 0.04194, 0.0230949, 0.0390611, 0.0375121, 0.04418, 0.0231963, 0.0391619, 0.0376298, 0.0442792
1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 0.0235032, 0.0396526, 0.0374985, 0.0445192, 0.0235706, 0.0397047, 0.0373039, 0.044377, 0.0236359, 0.0397703, 0.0373787, 0.0444404
1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 0.0205753, 0.0374754, 0.031281, 0.0399763, 0.0216468, 0.038538, 0.03376, 0.0419458, 0.0217023, 0.0385929, 0.0338319, 0.0420053
