Performances over images LS: 	0.0344616 0.0230229 0.0484838 0.0286785 0.0589511 0.0265882 0.0165497 0.0339153  0.020346 0.0629192 0.0246716 0.0178399 0.0274671 0.0141603 0.0557666
Performances over images LS: 	0.0452143 0.0381607  0.058046 0.0381989   0.06129  0.038444 0.0300617 0.0452367 0.0350761 0.0700443 0.0377845 0.0322405 0.0402333 0.0279359 0.0640896
Performances over images LS: 	0.0555195 0.0303661 0.0810132 0.0424978  0.104732  0.039986 0.0202107  0.057051 0.0261937  0.103974 0.0379387 0.0251693 0.0415683 0.0162452 0.0873525
Performances over images LS: 	0.0589472 0.0386613 0.0832554 0.0460176  0.104626  0.044201  0.028488 0.0601877 0.0340241  0.104842 0.0427689 0.0327448 0.0462041 0.0260651 0.0886144


Performances over images Likelihood: 	0.0341947 0.0228385  0.048075 0.0284503 0.0585533 0.0265746  0.016599 0.0338314 0.0203562 0.0628524 0.0245293 0.0177348 0.0275291 0.0141079 0.0558355
Performances over images Likelihood: 	0.0449466 0.0379754 0.0576364 0.0379698 0.0608917   0.03843 0.0301106 0.0451526  0.035086 0.0699773  0.037642 0.0321347 0.0402949 0.0278826 0.0641584
Performances over images Likelihood: 	0.0540935 0.0294793 0.0794084 0.0412963  0.103079 0.0398062  0.020283 0.0567769 0.0261814  0.103784 0.0374634 0.0247302 0.0419783 0.0161427 0.0877618
Performances over images Likelihood: 	0.0576068 0.0379693 0.0816956 0.0449108  0.102971 0.0440382 0.0285388 0.0599279 0.0340142  0.104654 0.0423473 0.0324076 0.0465728 0.0260003 0.0890178


Performances over images Penalized: 	0.0335178  0.022511 0.0484842 0.0277588 0.0570718 0.0256843 0.0166146 0.0327399 0.0200979 0.0603134  0.023315 0.0170091 0.0267369 0.0142302 0.0539882
Performances over images Penalized: 	0.0442784 0.0376557 0.0580581 0.0372846 0.0594222 0.0375403 0.0301259 0.0440656 0.0348295 0.0674399 0.0364254 0.0314057 0.0395053 0.0280006 0.0623121
Performances over images Penalized: 	0.0532667 0.0289725 0.0796058 0.0403701    0.1014 0.0385402 0.0202932 0.0553494 0.0257596  0.100265 0.0357374 0.0237004 0.0410426 0.0163105 0.0852109
Performances over images Penalized: 	 0.056843 0.0375871  0.081902 0.0440701  0.101304 0.0429016  0.028546 0.0585852 0.0336936  0.101172 0.0408232 0.0316236 0.0457357 0.0261013 0.0865086


