7, 8, 9, 10, 11, 0.281921, 0.29227, 0.484517, 0.484848, 0.209902, 0.220219, 0.377119, 0.377468, 0.171625, 0.181933, 0.29111, 0.291487
6, 8, 9, 10, 11, 0.236398, 0.244951, 0.403435, 0.40368, 0.220944, 0.229479, 0.384701, 0.384943, 0.18475, 0.193305, 0.307541, 0.307802
6, 7, 9, 10, 11, 0.218944, 0.226625, 0.374369, 0.374372, 0.204153, 0.211815, 0.352078, 0.352065, 0.179646, 0.187304, 0.296951, 0.29692
6, 7, 8, 10, 11, 0.239355, 0.247375, 0.400984, 0.401227, 0.209091, 0.217086, 0.364206, 0.364435, 0.174926, 0.182925, 0.289274, 0.289494
6, 7, 8, 9, 11, 0.215186, 0.224329, 0.371732, 0.372004, 0.204084, 0.213202, 0.356063, 0.356324, 0.177049, 0.18617, 0.297077, 0.297354
6, 7, 8, 9, 10, 0.218556, 0.227908, 0.375303, 0.375379, 0.203352, 0.212695, 0.352393, 0.352475, 0.177493, 0.186835, 0.293246, 0.293352
5, 8, 9, 10, 11, 0.172299, 0.183517, 0.311446, 0.312181, 0.153709, 0.164897, 0.286981, 0.287753, 0.122443, 0.133633, 0.192343, 0.193363
5, 7, 9, 10, 11, 0.162487, 0.17362, 0.284831, 0.285387, 0.148671, 0.159785, 0.263506, 0.264098, 0.130248, 0.141388, 0.203406, 0.204187
5, 7, 8, 10, 11, 0.165407, 0.176613, 0.253471, 0.254318, 0.141684, 0.152887, 0.223878, 0.224822, 0.141133, 0.152334, 0.22202, 0.222964
5, 7, 8, 9, 11, 0.165286, 0.176423, 0.29865, 0.299289, 0.157934, 0.16906, 0.285759, 0.286423, 0.13181, 0.142949, 0.209692, 0.210559
5, 7, 8, 9, 10, 0.161684, 0.172722, 0.282593, 0.283056, 0.150737, 0.161769, 0.265529, 0.266034, 0.133777, 0.144854, 0.208327, 0.209077
5, 6, 9, 10, 11, 0.143047, 0.153131, 0.234056, 0.234649, 0.121415, 0.131483, 0.190037, 0.190767, 0.120285, 0.130349, 0.187173, 0.187902
5, 6, 8, 10, 11, 0.159062, 0.169413, 0.274039, 0.274825, 0.143833, 0.154165, 0.252476, 0.253313, 0.126741, 0.137084, 0.201877, 0.202852
5, 6, 8, 9, 11, 0.144902, 0.155121, 0.242303, 0.243032, 0.126586, 0.136784, 0.205453, 0.206296, 0.122644, 0.132842, 0.194997, 0.195867
5, 6, 8, 9, 10, 0.143884, 0.154014, 0.235959, 0.236534, 0.12194, 0.132061, 0.190196, 0.190947, 0.121431, 0.131548, 0.18901, 0.189757
5, 6, 7, 10, 11, 0.154172, 0.164507, 0.258604, 0.259183, 0.144126, 0.154449, 0.243651, 0.24426, 0.133874, 0.144216, 0.212039, 0.212741
5, 6, 7, 9, 11, 0.147886, 0.157984, 0.243622, 0.244058, 0.131596, 0.141686, 0.208269, 0.208811, 0.130611, 0.140704, 0.207237, 0.207784
5, 6, 7, 9, 10, 0.155392, 0.165225, 0.252634, 0.252804, 0.135812, 0.145644, 0.211152, 0.211475, 0.134878, 0.144712, 0.209071, 0.209399
5, 6, 7, 8, 11, 0.151737, 0.162064, 0.258405, 0.25912, 0.147166, 0.157481, 0.250118, 0.250851, 0.134333, 0.144662, 0.212548, 0.213387
5, 6, 7, 8, 10, 0.155152, 0.165375, 0.261968, 0.262514, 0.14778, 0.158, 0.249924, 0.250498, 0.136915, 0.14716, 0.216658, 0.217357
5, 6, 7, 8, 9, 0.16399, 0.174113, 0.269399, 0.269784, 0.141587, 0.151709, 0.223357, 0.223857, 0.14131, 0.151431, 0.223515, 0.224013
4, 8, 9, 10, 11, 0.153594, 0.164185, 0.278665, 0.279212, 0.138756, 0.149312, 0.255024, 0.255571, 0.113372, 0.123952, 0.177994, 0.17875
4, 7, 9, 10, 11, 0.154921, 0.165345, 0.277875, 0.278123, 0.141789, 0.152189, 0.254182, 0.254433, 0.119269, 0.129732, 0.185736, 0.186222
